Study,Stud Design,Rating,Limitations,Rate Down,Inconsistency,Rate Down,Indirectness,Rate Down,Imprecision,Rate Down,Publication Bias,Rate Down,Large Effect,Rate Up,Dose Response,Rate Up,Confounding,Rate Up,Total,Rating#,Rating,Notes
Asagi et al. 1967,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Atwill et al. 2001,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,oocysts,1,"sex, age",1,4,3,High,
Awad-Alla et al. 2010,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Balasubramaniam et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Location,1,2,2,Moderate,
Barber et al. 2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Benton et al.  1983,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Location, Monthly",1,3,3,High,
Berry et al. 2019,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite 10 fly bodies,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Date collected, species",1,2,2,Moderate,
"Binkley, L. E. 2015",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Time, location, age",1,3,3,High,
Blanco et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Time, location",1,3,3,High,
Bondo et al. 2016,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, Sex, Location, Year, season",1,3,3,High,
Brittingham et al. 1988,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,Most species have very small sample size <25,1,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Broman et al. 2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, season, year",1,3,3,High,
Bublitz et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Burrus et al. 2017,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite fly bodies but also grain samples that flies landed on,1,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,"Time, location",1,2,2,Moderate,
Butron et al. 2010,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Butterfield et al.  1983,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,location,1,3,3,High,
Carlson et al.  2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Carroll et al 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Carvalho et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Casanovas et al. 1995,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Season, location",1,3,3,High,
Chalmers et al. 1994,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Chalmers et al. 1997,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Sex, season",1,3,3,High,
Chiari et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, sex",1,3,3,High,
Cizek et al.  1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Cizek et al. 1994,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,Pigeon and Sparrow have large effects but other birds are below effect size,0,No Dose Response,0,location,1,2,2,Moderate,
Contreras-Rodriguez et al. 2019,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Coulson et al. 1983,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,Herring Gull and Black-headed gull have large effects but other birds are below effect size,0,No Dose Response,0,Season,1,2,2,Moderate,
Cox et al. 2005,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
Craven et al. 2000,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Date collected, location, type of dropping",1,2,2,Moderate,
Cruickshank et al. 1949,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Cummings et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Dadam et al. 2019,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, location",1,3,3,High,
Daoust et al.  2000,Observational,1,No serious limitations,0,Collected birds that were found dead,1,Studied tissues from dead birds,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,-1,0,Very Low,
de Sousa et al. 2010,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
"Dobeic, M. 2003",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Year, Location",1,3,3,High,
Drewe et al. 2012,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Ebani et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
European Food Safety Authority 2009,Observational,1,No serious limitations,0,Combined multiple different datasets with different methods,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Faddoul et al. 1966,Observational,1,No serious limitations,0,Studied dead birds during an epidemic,1,Studied tissues from dead birds,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,-1,0,Very Low,
Fallacara et al. 2001,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Fallacara et al. 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Monthly,1,3,3,High,
Feng et al. 2007,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,Small sample size for specific species,1,Undetected,0,>140 samples,1,No Dose Response,0,Location,1,2,2,Moderate,
Fenlon et al. 1981,Observational,1,No serious limitations,0,Seagulls that fed at water treatment outfall,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Fenlon et al. 1983,Observational,1,No serious limitations,0,Seagulls that fed at water treatment outfall,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Ferguson et al. 2009,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Ferns et al.  2000,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Season, Age",1,3,3,High,
Firth et al.  2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Fogarty et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
"Fonseca, et al. 2020",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,Only over effect sizes for Mourning Doves,0,No Dose Response,0,location,1,2,2,Moderate,
Franklin et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
French et al. 2009,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,Data not to species level,1,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Frick et al. 2018,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
Fricker 1984,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Fricker et al. 1983,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Methods,1,3,3,High,
Gaukler et al. 2008,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Gaukler et al. 2009,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, sex, weight, season",1,3,3,High,
Geldreich et al. 1962,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Georgiades and Iordanidis 2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Gibbs et al. 2007,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Sex",1,2,2,Moderate,
Girdwood et al. 1985,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Location, Month",1,3,3,High,
"Goldberg, et al. 2008",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"location, land use/type, human population density",1,2,2,Moderate,
Gonzalez-Acuna et al. 2007,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Goodchild et al.  1968,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Gorski et al. 2011,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Date, location, species, climate",1,2,2,Moderate,
Gould and Fletch 1978,Observational,1,No serious limitations,0,No serious inconsistency,0,Birds were in lab for 1 year before testing,1,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,1,1,Low,
Grigar et al.  2016,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Species, Season, Year, Sex",1,2,2,Moderate,
Grigar et al.  2017,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
"Grigar, M. K. 2018",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Species, Season, Year, Sex",1,2,2,Moderate,
Gruszynski et al. 2012,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,Animal categorization not to species level,1,Undetected,0,No Effect,0,No Dose Response,0,location,1,1,1,Low,
Hamer et al. 2012,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"location, sex, age, species",1,2,2,Moderate,
Hamilton et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,"Composite samples, family name",1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Season, Location",1,2,2,Moderate,
Hancock et al. 1998,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite samples,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Hazeleger et al. 2018,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Date, location, species",1,2,2,Moderate,
Heitman et al. 2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Hellein et al. 2011,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Hernandez et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,Categorized to phila level,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Hernandez et al. 2016,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Date, location",1,3,3,High,
Hill et al. 2008,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Location,1,2,2,Moderate,
Himsworth et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Sex, Age",1,3,3,High,
Hsu et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Hsu et al. 2017,Observational,1,No serious limitations,0,No serious inconsistency,0,Categorized to phila level,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Hussong et al.  1979,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
Janecko et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Location, Species, Year",1,3,3,High,
Jardine et al. 2011,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Sex",1,2,2,Moderate,
Jay-Russell and Justice-Allen 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Season, Location",1,3,3,High,
Jellison et al. 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Date, Location",1,3,3,High,
Jones and Obiri-Danso 1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
Kapperud and Rosef 1983,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Kilonzo et al. 2013,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Sex, County, Farm, Taxonomic family, season, trap , daily temp, moon , irrigation",1,2,2,Moderate,
Kilonzo et al. 2017,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,cysts/g,1,"Age, Sex, Season, Farm, ",1,4,3,High,
Kinzleman et al. 2008,Observational,1,No serious limitations,0,No serious inconsistency,0,Categorized to Gull level,1,No serious imprecision,0,Undetected,0,>140 samples,1,,,"Location, Year",1,2,2,Moderate,
Kirk et al. 2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Kirkpatrick and Colvin 1986,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Koskey et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,Location,1,3,3,High,
Kowalewski et al. 2011,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,cysts/g,1,Location,1,3,3,High,
Kullas et al.  2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Month, Temperature, Location",1,3,3,High,
Kuntz et al 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Lawson et al. 2010,Observational,1,No serious limitations,0,Collected animals that were found dead,1,Dead animal tissues,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Month, year, location",1,0,0,Very Low,
Levesque et al. 1993,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,CFU/g,1,Date,1,4,3,High,
Levesque et al. 2000,Observational,1,No serious limitations,0,No serious inconsistency,0,Unable to determine if data is for individual samples or for multiple,1,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,"Location, date",1,2,2,Moderate,
Li et al. 2020,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Literak et al.  1992,Observational,1,No serious limitations,0,Young non flying black headed gulls,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Lohmus et al. 2013,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Lowenstein et al. 2020,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Luechtefeld et al. 1980,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Maeda et al. 2001,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Year, Month",1,3,3,High,
Marrow et al. 2009,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Masuda et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Season, sex, age",1,3,3,High,
McGlade et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Cat ownership status, other pets present",1,3,3,High,
McReynolds et al. 1999,Observational,1,No serious limitations,0,No serious inconsistency,0,Blood Serum tested instead of feces,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, breed, sex, housing, vomiting or diarrhea",1,2,2,Moderate,
Medema 1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,oocysts/g,1,No Confounding,0,2,2,Moderate,
Medhanie et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite fecal samples,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Medkour et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
"Medley, S. E. 2019",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Location, Land use",1,3,3,High,
Meteyer et al. 1997,Observational,1,No serious limitations,0,Birds that were found dead,1,Tissue samples tested instead of feces,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,-1,0,Very Low,
Middleton and Ambrose 2005,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,Season,1,3,3,High,
Mikaelian et al. 1997,Observational,1,No serious limitations,0,Sick or dead birds submitted to Wildlife health center,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Mirzaie et al. 2010,Observational,1,No serious limitations,0,No serious inconsistency,0,Tissue samples tested instead of feces,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Mitchell and Ridgewell 1971,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Year,1,2,2,Moderate,
Monaghan et al. 1985,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Sex, Age, Season",1,3,3,High,
Montecino-Latorre et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Vegitation, Elevation, Human access",1,3,3,High,
Moore et al. 2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Morabito et al. 2001,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Different flocks, recaptured animals",1,3,3,High,
Moriarty et al. 2011,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,MPN/g,1,No Confounding,0,2,2,Moderate,
