Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.Extras,Free.captive,Pathogen1,Pathogen,Pathotype.Bin.2,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, stx1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 10",free,Escherichia coli stx1,EHEC,,feces,yes,no,,,ND,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, stx2), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 11",free,Escherichia coli stx2,EHEC,,feces,yes,no,,,ND,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, hlyA), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli hlyA,EHEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, stx1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli stx1,EHEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, stx2), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli stx2,EHEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, cdtB), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 2",free,Escherichia coli cdtB,EPEC,ExPEC,feces,yes,no,,,3,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, exhA), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 6",free,Escherichia coli exhA,EPEC,,feces,yes,no,,,ND,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, cdtB), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli cdtB,EPEC,ExPEC,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, exhA), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli exhA,EPEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, LT1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 8",free,Escherichia coli LT1,ETEC,,feces,yes,no,,,ND,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, ST1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 9",free,Escherichia coli ST1,ETEC,,feces,yes,no,,,ND,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, LT1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli LT1,ETEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, ST1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli ST1,ETEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, cnf1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 3",free,Escherichia coli cnf1,ExPEC,,feces,yes,no,,,ND,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, cvaC), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 4",free,Escherichia coli cvaC,ExPEC,,feces,yes,no,,,11,38,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, cvaC), culture broth and plate",Molecular,NA,NA,,NA,Animal,Bird,,,,,,"plover 3, wood duckling 3, blu-faced honey eater 3, magpie 3, crow 4, ibis 4, seagul 3, topknot pigeon 2, crested tern 2, pacific baza 3, fantail cuckoo 3, rainbow lorikeet 3, tawny frogmouth 14",free,Escherichia coli cvaC,ExPEC,,"isolates, feces",yes,no,,,18,214,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, cnf1), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli cnf1,ExPEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2012,Ahmed et al.  2012,yes,review,"Australia, Queensland, Brisbane/Gold Coast",no,Western Pacific,"PCR (uidA, cvaC), culture broth and plate",Molecular,NA,NA,,NA,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,,,Brushtail possum,free,Escherichia coli cvaC,ExPEC,,feces,yes,no,,,ND,40,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ahmed et al. ,2019,Ahmed et al.  2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g feces,200 mg,Animal,Mammal,Chiroptera,Pteropodidae,Pteropus,,,Flying fox (genus),free,Escherichia coli O157,EHEC,,feces,yes,no,StatsTotal,yes,0,14,NA,,<10E3,NA,NA,NA,<10E3,<10E3,NA,NA,gene copies/g feces,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al. ,2019,Ahmed et al.  2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g feces,200 mg,Animal,Mammal,Chiroptera,Pteropodidae,Pteropus,,,Flying fox (genus),free,Escherichia coli,Escherichia coli,,feces,yes,yes,StatsTotal,no,14,14,NA,,,NA,NA,NA,35481.33892,812830516.2,501187.2336,3630780.548,gene copies/g feces,,,NA,NA,NA,NA,NA,NA,6.13,1.11,Moderate,2
Ahmed et al. ,2019,Ahmed et al.  2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g feces,200 mg,Animal,Bird,Psittaciformes,,,,,Parrot (order),free,Escherichia coli,Escherichia coli,,feces,yes,yes,StatsTotal,no,10,10,NA,,,NA,NA,NA,30199.5172,2344228815,1380384.265,64565422.9,gene copies/g feces,,,NA,NA,NA,NA,NA,NA,6.98,1.78,Moderate,2
Ahmed et al. ,2019,Ahmed et al.  2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,1000,half MDL,gene copies/g feces,200 mg,Animal,Bird,Psittaciformes,,,,,Parrot (order),free,Escherichia coli O157,STEC,,feces,yes,no,StatsTotal,yes,0,10,NA,,<10E3,NA,NA,NA,<10E3,<10E3,NA,NA,gene copies/g feces,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,100-150 mg,Animal,Bird,,,,,,waterfowl,free,Escherichia coli eaeA,EHEC,,feces,yes,no,,,1,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,100-150 mg,Animal,Bird,,,,,,waterfowl,free,Escherichia coli hlyA,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,100-150 mg,Animal,Bird,,,,,,waterfowl,free,Escherichia coli stx1,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,100-150 mg,Animal,Bird,,,,,,waterfowl,free,Escherichia coli stx2,EHEC,,feces,yes,no,,,1,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane, veterinary hospital",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis catus,,?,Escherichia coli eaeA,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane, veterinary hospital",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis catus,,free,Escherichia coli hlyA,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane, veterinary hospital",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis catus,,free,Escherichia coli stx1,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane, veterinary hospital",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis catus,,free,Escherichia coli stx2,EHEC,,feces,yes,no,,,9,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Diprotodontia,,,,,Phalangeriformes,free,Escherichia coli eaeA,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Diprotodontia,,,,,Phalangeriformes,free,Escherichia coli hlyA,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Diprotodontia,,,,,Phalangeriformes,free,Escherichia coli stx1,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ahmed et al.,2015,Ahmed et al. 2015,Yes,Google Scholar,"Australia, Brisbane",no,Western Pacific,"qPCR (custom primers, eaeA, hlyA, stx1, stx2)",Molecular,2 gene copies,ND,,180-220 mg,Animal,Mammal,Diprotodontia,,,,,Phalangeriformes,free,Escherichia coli stx2,EHEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,has enumerated values but they are in graph format so were not used,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Alam and Zurek,2004,Alam and Zurek 2004,yes,review,"USA, Kansas, feedlot",yes,North America,"PCR (stx1, stx2, eaeA, fliC), latex agglutination assay, MPN, broth and plate culture.",Molecular,NA,NA,,1 fly,Animal,Insect,Diptera,Muscidae,Musca,House fly,Musca domestica,,free,Escherichia coli O157:H7,EHEC,,fly,yes,no,,,75,3440,NA,,,NA,NA,NA,30,150000,NA,NA,CFU/fly,has information furthere divided time and location on farm.,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Muridae,Rattus,Brown rat,Rattus norvegicus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,1,1,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario, swine farm",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Muridae,Rattus,Brown rat,Rattus norvegicus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,1,1,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmonk,Tamias striatus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,22,27,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario, landfill",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmonk,Tamias striatus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,1,1,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario, natural",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmonk,Tamias striatus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,1,1,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario, residential",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmonk,Tamias striatus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,14,18,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario, swine farm",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmonk,Tamias striatus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,1,1,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Allen et al.,2010,Allen et al. 2010,Yes,Google Scholar,"Canada, Ontario",no,North America,culture broth and plate,Conventional,NA,NA,,NA,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus musculus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,53,65,NA,,,NA,NA,NA,,,NA,NA,,Has more information on antibiotic resistance,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
