Animal,Pathogen,Method,GRADE,Datasets,Report#,Positive,Sample(n),Fixed.effects.mean,Fixed.effects.95low,Fixed.effects.95high,Random.effects.mean,Random.effects.95low,Random.effects.95high,AniNum,MethNum,PathNum,Report Name
Bird,Salmonella,Conventional,Very Low,653,82,4682,71761,0.094357397,0.091764502,0.097015731,0.070537416,0.063950396,0.07774656,1,1,1,"Adesiyun et al. 1998, Afema, et al. 2016, Andres-Barranco et al. 2014, Awad-Alla et al. 2010, Barber et al. 2002, Benton et al.  1983, Binkley, L. E. 2015, Blanco et al. 2021, Brittingham et al. 1988, Butron et al. 2010, Butterfield et al.  1983, Casanovas et al. 1995, Cizek et al. 1994, Coulson et al. 1983, Craven et al. 2000, Cruickshank et al. 1949, Cummings et al. 2021, Dadam et al. 2019, Daoust et al.  2000, de Sousa et al. 2010, Dobeic, M. 2003, Ebani et al. 2021, Fallacara et al. 2001, Fallacara et al. 2004, Fenlon et al. 1981, Fenlon et al. 1983, Ferns et al.  2000, Fonseca, et al. 2020, Fricker 1984, Fricker et al. 1983, Gaukler et al. 2008, Gaukler et al. 2009, Georgiades and Iordanidis 2002, Girdwood et al. 1985, Gonzalez-Acuna et al. 2007, Goodchild et al.  1968, Grigar et al.  2016, Grigar et al.  2017, Grigar, M. K. 2018, Hernandez et al. 2003, Hernandez et al. 2016, Hussong et al.  1979, Janecko et al. 2015, Jay-Russell and Justice-Allen 2014, Kapperud and Rosef 1983, Kinzleman et al. 2008, Kirk et al. 2002, Kirkpatrick and Colvin 1986, Lawson et al. 2010, Maeda et al. 2001, Medhanie et al. 2014, Mitchell and Ridgewell 1971, Monaghan et al. 1985, Moriarty et al. 2011, Morishita et al. 1999, Murray et al. 2021, Navarro-Gonzalez et al. 2020, Oates et al. 2012, Oosterom 1987, Palmgren et al. 1997, Palmgren et al. 2004, Palmgren et al. 2006, Pao et al. 2014, Pearson et al. 2016, Plant, C. W. 1978, Plaza-Rodriguez et al. 2021, Quessy and Messier 1992, Reche et al. 2003, Refsum, et al. 2002, Rivadeneira et al. 2016, Robinson and Daniel 1968, Robinson et al. 2010, Siembieda et al. 2011, Silva et al. 2018, Smith et al.  2002, Snoeyenbos et al. 1967, Strait, A. 2015, Tanaka et al. 2005, Tizard et al. 2004, Wahlstrom et al. 2003, Wilson and MacDonald 1967, Winsor et al. 1981"
Bird,Salmonella enterica (non-typhoid),Conventional,Low,20,2,7,124,0.165631376,0.101841428,0.257903929,0.162299016,0.110651473,0.231771047,1,1,2,"Franklin et al. 2015, Robinson and Daniel 1968"
Bird,Salmonella enterica (typhoid),Conventional,Very Low,18,4,54,456,0.374083672,0.287311005,0.469788211,0.105731452,0.051318838,0.205348919,1,1,3,"Dadam et al. 2019, Mikaelian et al. 1997, Pennycott et al. 1998, Robinson and Daniel 1968"
Bird,STEC,Conventional,Low,6,2,140,1368,0.107206736,0.091581929,0.1251301,0.10720667,0.083698169,0.13633562,2,1,8,"Cizek et al.  1999, Morabito et al. 2001"
Bird,Total coliform,Conventional,Moderate,4,1,46,92,0.39076454,0.272125768,0.523897937,0.522263593,0.027689627,0.97672542,1,1,2,Muniesa et al.  1999
Euchelicerata,Salmonella,Conventional,Low,1,1,1,96,0.010416667,0.001465445,0.070199797,0.010416667,0.001465445,0.070199797,2,1,1,Barber et al. 2002
Gastropod,Enterococci,Conventional,Moderate,1,1,26,96,0.270833333,0.191461876,0.368127501,0.270833333,0.191461876,0.368127501,3,1,1,Frick et al. 2018
Gastropod,Escherichia coli,Conventional,Moderate,1,1,26,77,0.337662338,0.241214387,0.449813312,0.337662338,0.241214387,0.449813312,3,1,5,Frick et al. 2018
Insect,EHEC,Conventional,Very Low,2,2,10,93,0.157328352,0.085375308,0.271895298,0.102081173,8.40E-08,0.999993501,4,1,2,"Burrus et al. 2017, Hancock et al. 1998"
Insect,Salmonella,Conventional,Low,67,2,29,2895,0.052031724,0.04011154,0.067246134,0.052031713,0.038520836,0.069936724,3,1,1,"Barber et al. 2002, Hamilton et al. 2021"
Insect,Salmonella enterica (non-typhoid),Conventional,Moderate,1,1,11,2665,0.00412758,0.002287278,0.007437515,0.00412758,0.002287278,0.007437515,3,1,2,Hamilton et al. 2021
Isopod,Salmonella,Conventional,Low,1,1,0,46,0.010638298,0.000662207,0.148561343,0.010638298,0.000662207,0.148561343,4,1,1,Barber et al. 2002
Mammal,Campylobacter,Conventional,Low,33,10,266,3649,0.106513353,0.094272465,0.120132853,0.072876905,0.044561064,0.116982701,2,1,1,"Acke et al. 2006, Acke et al. 2009, Adesiyun et al. 1998, Drewe et al. 2012, European Food Safety Authority 2009, Hazeleger et al. 2018, Moser et al. 2001, Ogden et al. 2009, Sandberg et al. 2002, Wieland et al.  2005"
Mammal,Campylobacter coli,Conventional,Moderate,2,2,7,897,0.007848278,0.003745981,0.016369265,0.007848278,0.002048618,0.02958016,2,1,4,"Sandberg et al. 2002, Wieland et al.  2005"
Mammal,Campylobacter jejuni,Conventional,Low,9,4,43,1489,0.038090085,0.028398918,0.050915069,0.035397801,0.011123327,0.106918886,2,1,8,"Lohmus et al. 2013, Sandberg et al. 2002, Spain et al. 2001, Wieland et al.  2005"
Mammal,Campylobacter lari,Conventional,High,1,1,0,596,0.000837521,5.24E-05,0.013239046,0.000837521,5.24E-05,0.013239046,2,1,9,Wieland et al.  2005
Mammal,Campylobacter upsaliensis,Conventional,Moderate,1,1,38,301,0.126245847,0.093239156,0.168762273,0.126245847,0.093239156,0.168762273,2,1,11,Sandberg et al. 2002
Mammal,Cryptosporidium,Conventional,Low,55,11,741,3960,0.25443376,0.238632467,0.270909058,0.138204008,0.0998782,0.188162127,3,1,1,"Cox et al. 2005, Hill et al. 2008, Kilonzo et al. 2013, Kowalewski et al. 2011, Li et al. 2020, Lohmus et al. 2013, Montecino-Latorre et al. 2015, Oates et al.  2012, Sargent et al. 1998, Sturdee et al. 2003, Villeneuve et al. 2015"
Mammal,Cryptosporidium muris,Conventional,Low,4,2,53,653,0.101545875,0.078068164,0.131080252,0.078246486,0.011880655,0.374739837,3,1,4,"Chalmers et al. 1994, Chalmers et al. 1997"
Mammal,Cryptosporidium parvum,Conventional,Low,17,6,308,1260,0.246171555,0.220814187,0.273419048,0.402677257,0.229550459,0.604011226,3,1,5,"Atwill et al. 2001, Chalmers et al. 1994, Chalmers et al. 1997, Snyder, DE 1988, Sturdee et al. 1999, Webster and MacDonald 1995"
Mammal,EHEC,Conventional,Very Low,4,2,0,355,0.014212898,0.003530072,0.055426263,0.014261132,0.00123034,0.14523496,5,1,2,"Hancock et al. 1998, Siembieda et al. 2011"
Mammal,Escherichia coli,Conventional,Low,35,5,837,1686,0.505444533,0.479678162,0.531182015,0.461498718,0.359588669,0.566731662,5,1,5,"Allen et al. 2010, Franklin et al. 2015, Goldberg, et al. 2008, Himsworth et al. 2015, Weigler et al. 1988"
Mammal,Fecal coliform,Conventional,Moderate,6,1,30,39,0.648941822,0.423004059,0.823353588,0.810773241,0.413060532,0.963081036,2,1,1,Cox et al. 2005
Mammal,Giardia,Conventional,Low,32,8,263,1786,0.224191088,0.20024536,0.250104807,0.222179963,0.15653317,0.305389695,2,1,1,"Cox et al. 2005, Heitman et al. 2002, Kilonzo et al. 2013, Kilonzo et al. 2017, Kowalewski et al. 2011, Lohmus et al. 2013, Oates et al.  2012, Villeneuve et al. 2015"
Mammal,Salmonella,Conventional,Low,55,18,495,6165,0.162203045,0.149056982,0.176268357,0.043363042,0.029144253,0.06406111,5,1,1,"Adesiyun et al. 1998, Andres-Barranco et al. 2014, Balasubramaniam et al. 2021, Barber et al. 2002, Bondo et al. 2016, Cruickshank et al. 1949, Drewe et al. 2012, Hazeleger et al. 2018, Jardine et al. 2011, Kapperud and Rosef 1983, Kilonzo et al. 2013, Lohmus et al. 2013, Oates et al. 2012, Ojo et al. 2019, Plant, C. W. 1978, Queen et al. 2012, Siembieda et al. 2011, Spain et al. 2001"
Mammal,Salmonella enterica (non-typhoid),Conventional,Low,5,2,4,355,0.018887438,0.008495784,0.041458213,0.018887438,0.008562075,0.041147799,5,1,2,"Allen et al. 2010, Franklin et al. 2015"
Mammal,STEC,Conventional,Low,4,2,14,652,0.034899431,0.020618894,0.05848001,0.091726017,0.006250481,0.618537841,5,1,8,"Cizek et al.  1999, Himsworth et al. 2015"
North America,Campylobacter,Conventional,Low,21,5,248,1747,0.183298888,0.161985014,0.206725408,0.101037564,0.061244192,0.162218737,1,1,1,"Adesiyun et al. 1998, Kinzleman et al. 2008, Quessy and Messier 1992, Sulzner et al. 2014, Weis et al. 2014"
North America,Campylobacter jejuni,Conventional,Low,38,7,1054,3391,0.411872432,0.391785093,0.432257723,0.218877592,0.133216765,0.338132589,1,1,8,"Fallacara et al. 2001, Fallacara et al. 2004, Luechtefeld et al. 1980, Pacha et al.  1987, Pao et al. 2014, Taff et al. 2016, Spain et al. 2001"
North America,Cryptosporidium,Conventional,Low,34,5,260,1944,0.208640619,0.186193012,0.233019628,0.148773076,0.099297031,0.216962969,3,1,1,"Kilonzo et al. 2013, Li et al. 2020, Montecino-Latorre et al. 2015, Oates et al.  2012, Villeneuve et al. 2015"
North America,Cryptosporidium parvum,Conventional,Low,2,2,62,409,0.152022715,0.120339172,0.19024399,0.152022715,0.05064638,0.375959415,3,1,5,"Atwill et al. 2001, Snyder, DE 1988"
North America,EHEC,Conventional,Very Low,50,5,11,1624,0.063479743,0.045380961,0.088130283,0.052218769,0.036316315,0.074546043,4,1,2,"Burrus et al. 2017, Fonseca, et al. 2020, Gaukler et al. 2009, Hancock et al. 1998, Siembieda et al. 2011"
North America,Enterococci,Conventional,Low,37,4,186,962,0.187517781,0.157718533,0.22146688,0.164598036,0.098435855,0.262292481,2,1,1,"Kuntz et al 2004, Middleton and Ambrose 2005, Ricca and Cooney 1998, Marrow et al. 2009"
North America,Enterococcus faecalis,Conventional,Low,8,1,7,14,0.5,0.278739609,0.721260391,0.5,0.328622642,0.671377358,2,1,3,Kuntz et al 2004
North America,Escherichia coli,Conventional,Very Low,91,18,2304,5899,0.433078977,0.418101482,0.448179765,0.376813476,0.294697122,0.46667151,5,1,5,"Allen et al. 2010, Binkley, L. E. 2015, Brittingham et al. 1988, Contreras-Rodriguez et al. 2019, Fallacara et al. 2001, Fallacara et al. 2004, Franklin et al. 2015, Gaukler et al. 2009, Himsworth et al. 2015, Kullas et al.  2002, Meteyer et al. 1997, Middleton and Ambrose 2005, Morishita et al. 1999, Radwan and Lampky 1972, Steel et al. 2005, Sulzner et al. 2014, Wiese et al. 1977, Winsor et al. 1981"
North America,Fecal coliform,Conventional,Moderate,30,2,140,940,0.204575395,0.170828583,0.243034795,0.103800366,0.051631641,0.197692511,1,1,1,"Hussong et al.  1979, Ricca and Cooney 1998"
North America,Giardia,Conventional,Low,23,5,178,1836,0.16186396,0.140871677,0.185309713,0.129383825,0.073541538,0.217666533,1,1,1,"Heitman et al. 2002, Kilonzo et al. 2013, Kilonzo et al. 2017, Oates et al.  2012, Villeneuve et al. 2015"
North America,Salmonella,Conventional,Low,362,37,539,17719,0.075505905,0.070034713,0.081367115,0.058296783,0.050847103,0.066761156,1,1,1,"Adesiyun et al. 1998, Barber et al. 2002, Binkley, L. E. 2015, Brittingham et al. 1988, Craven et al. 2000, Cummings et al. 2021, Fallacara et al. 2001, Fallacara et al. 2004, Fonseca, et al. 2020, Gaukler et al. 2008, Gaukler et al. 2009, Grigar et al.  2016, Grigar et al.  2017, Grigar, M. K. 2018, Hernandez et al. 2016, Hussong et al.  1979, Janecko et al. 2015, Jay-Russell and Justice-Allen 2014, Kinzleman et al. 2008, Kirk et al. 2002, Kirkpatrick and Colvin 1986, Medhanie et al. 2014, Morishita et al. 1999, Murray et al. 2021, Navarro-Gonzalez et al. 2020, Oates et al. 2012, Pao et al. 2014, Rivadeneira et al. 2016, Siembieda et al. 2011, Smith et al.  2002, Snoeyenbos et al. 1967, Strait, A. 2015, Winsor et al. 1981, Hamilton et al. 2021, Kilonzo et al. 2013, Queen et al. 2012, Spain et al. 2001"
North America,Salmonella enterica (non-typhoid),Conventional,Low,22,2,11,2803,0.018301356,0.011866867,0.028125466,0.078788215,0.042598456,0.141189154,1,1,2,"Franklin et al. 2015, Hamilton et al. 2021"
North America,STEC,Conventional,High,1,1,10,633,0.015797788,0.008520604,0.029107725,0.015797788,0.008520604,0.029107725,5,1,8,Himsworth et al. 2015
Reptile,Campylobacter,Conventional,Low,1,1,0,23,0.020833333,0.001290689,0.259415669,0.020833333,0.001290689,0.259415669,3,1,1,Adesiyun et al. 1998
Reptile,Escherichia coli,Conventional,Moderate,3,1,2,56,0.049234725,0.014259034,0.156390568,0.049234725,0.010781012,0.197466166,6,1,5,Schmidt et al. 2014
Reptile,Salmonella,Conventional,Low,22,2,45,257,0.245727997,0.18880942,0.313180722,0.225646818,0.149578397,0.325589294,6,1,1,"Adesiyun et al. 1998, Scheelings et al.  2011"
Total,Campylobacter,Conventional,Very Low,63,22,1292,7798,0.224544462,0.213324943,0.236176903,0.120503362,0.087929403,0.162988108,1,1,1,"Adesiyun et al. 1998, Broman et al. 2002, Casanovas et al. 1995, Kinzleman et al. 2008, Moore et al. 2002, Ogden et al. 2009, Palmgren et al. 2004, Plaza-Rodriguez et al. 2021, Quessy and Messier 1992, Sulzner et al. 2014, Wahlstrom et al. 2003, Weis et al. 2014, Whelan et al. 1988, Moriarty et al. 2011, Acke et al. 2006, Acke et al. 2009, Drewe et al. 2012, European Food Safety Authority 2009, Hazeleger et al. 2018, Moser et al. 2001, Sandberg et al. 2002, Wieland et al.  2005"
Total,Campylobacter coli,Conventional,Low,10,3,24,1035,0.070668168,0.047114463,0.104703114,0.083940581,0.021381647,0.277612527,1,1,4,"Kapperud and Rosef 1983, Sandberg et al. 2002, Wieland et al.  2005"
Total,Campylobacter jejuni,Conventional,Low,57,15,1435,6165,0.344999427,0.329503812,0.360831594,0.199830477,0.128649595,0.296972466,1,1,8,"Broman et al. 2002, Fallacara et al. 2001, Fallacara et al. 2004, Kapperud and Rosef 1983, Luechtefeld et al. 1980, Moore et al. 2002, Pacha et al.  1987, Pao et al. 2014, Pearson et al. 2016, Taff et al. 2016, Wahlstrom et al. 2003, Lohmus et al. 2013, Sandberg et al. 2002, Spain et al. 2001, Wieland et al.  2005"
Total,Campylobacter lari,Conventional,Low,11,4,57,1043,0.090644154,0.060083968,0.134523353,0.106669346,0.019975476,0.411595479,1,1,9,"Kapperud and Rosef 1983, Moore et al. 2002, Wahlstrom et al. 2003, Wieland et al.  2005"
Total,Campylobacter upsaliensis,Conventional,Moderate,1,1,38,301,0.126245847,0.093239156,0.168762273,0.126245847,0.093239156,0.168762273,2,1,11,Sandberg et al. 2002
Total,Cryptosporidium,Conventional,Low,59,12,744,4123,0.251241988,0.235630613,0.26752567,0.129226304,0.093828505,0.175393533,3,1,1,"Cox et al. 2005, Hill et al. 2008, Kilonzo et al. 2013, Kowalewski et al. 2011, Li et al. 2020, Lohmus et al. 2013, Montecino-Latorre et al. 2015, Oates et al.  2012, Rzymski et al. 2017, Sargent et al. 1998, Sturdee et al. 2003, Villeneuve et al. 2015"
Total,Cryptosporidium muris,Conventional,Low,4,2,53,653,0.101545875,0.078068164,0.131080252,0.078246486,0.011880655,0.374739837,3,1,4,"Chalmers et al. 1994, Chalmers et al. 1997"
Total,Cryptosporidium parvum,Conventional,Low,17,6,308,1260,0.246171555,0.220814187,0.273419048,0.402677257,0.229550459,0.604011226,3,1,5,"Atwill et al. 2001, Chalmers et al. 1994, Chalmers et al. 1997, Snyder, DE 1988, Sturdee et al. 1999, Webster and MacDonald 1995"
Total,EHEC,Conventional,Very Low,50,5,11,1624,0.063479743,0.045380961,0.088130283,0.052218769,0.036316315,0.074546043,4,1,2,"Burrus et al. 2017, Fonseca, et al. 2020, Gaukler et al. 2009, Hancock et al. 1998, Siembieda et al. 2011"
Total,Enterococci,Conventional,Low,44,6,546,1539,0.269092572,0.238794343,0.301711338,0.245953873,0.138649349,0.397937704,1,1,1,"Frick et al. 2018, Kuntz et al 2004, Moriarty et al. 2011, Middleton and Ambrose 2005, Ricca and Cooney 1998, Marrow et al. 2009"
Total,Enterococcus faecalis,Conventional,Low,8,1,7,14,0.5,0.278739609,0.721260391,0.5,0.328622642,0.671377358,2,1,3,Kuntz et al 2004
Total,EPEC,Conventional,Low,13,1,45,143,0.497796184,0.3519462,0.644022183,0.42227476,0.167226434,0.726816159,2,1,4,Pennycott et al. 1998
Total,Escherichia coli,Conventional,Very Low,114,27,2763,7391,0.406854698,0.393886912,0.41995361,0.346105923,0.280205974,0.418493478,5,1,5,"Allen et al. 2010, Awad-Alla et al. 2010, Binkley, L. E. 2015, Brittingham et al. 1988, Carroll et al 2015, Contreras-Rodriguez et al. 2019, Fallacara et al. 2001, Fallacara et al. 2004, Franklin et al. 2015, Frick et al. 2018, Gaukler et al. 2009, Goldberg, et al. 2008, Himsworth et al. 2015, Kullas et al.  2002, Meteyer et al. 1997, Middleton and Ambrose 2005, Morishita et al. 1999, Pearson et al. 2016, Pourcher et al.  1991, Radwan and Lampky 1972, Schmidt et al. 2014, Steel et al. 2005, Stenkat et al. 2014, Sulzner et al. 2014, Weigler et al. 1988, Wiese et al. 1977, Winsor et al. 1981"
Total,Fecal coliform,Conventional,Moderate,42,4,224,1103,0.243794354,0.208798505,0.282560968,0.19114756,0.098428445,0.338422496,2,1,1,"Cox et al. 2005, Hussong et al.  1979, Ricca and Cooney 1998, Muniesa et al.  1999"
Total,Giardia,Conventional,Low,53,10,276,2593,0.200067719,0.179029869,0.2229065,0.138510166,0.094984031,0.197626511,2,1,1,"Cox et al. 2005, Heitman et al. 2002, Kilonzo et al. 2013, Kilonzo et al. 2017, Kowalewski et al. 2011, Lohmus et al. 2013, Medema 1999, Oates et al.  2012, Rzymski et al. 2017, Villeneuve et al. 2015"
Total,Salmonella,Conventional,Very Low,799,94,5252,81220,0.098969118,0.096405358,0.101593391,0.069026561,0.062961956,0.075628172,1,1,1,"Adesiyun et al. 1998, Afema, et al. 2016, Andres-Barranco et al. 2014, Awad-Alla et al. 2010, Barber et al. 2002, Benton et al.  1983, Binkley, L. E. 2015, Blanco et al. 2021, Brittingham et al. 1988, Butron et al. 2010, Butterfield et al.  1983, Casanovas et al. 1995, Cizek et al. 1994, Coulson et al. 1983, Craven et al. 2000, Cruickshank et al. 1949, Cummings et al. 2021, Dadam et al. 2019, Daoust et al.  2000, de Sousa et al. 2010, Dobeic, M. 2003, Ebani et al. 2021, Fallacara et al. 2001, Fallacara et al. 2004, Fenlon et al. 1981, Fenlon et al. 1983, Ferns et al.  2000, Fonseca, et al. 2020, Fricker 1984, Fricker et al. 1983, Gaukler et al. 2008, Gaukler et al. 2009, Georgiades and Iordanidis 2002, Girdwood et al. 1985, Gonzalez-Acuna et al. 2007, Goodchild et al.  1968, Grigar et al.  2016, Grigar et al.  2017, Grigar, M. K. 2018, Hernandez et al. 2003, Hernandez et al. 2016, Hussong et al.  1979, Janecko et al. 2015, Jay-Russell and Justice-Allen 2014, Kapperud and Rosef 1983, Kinzleman et al. 2008, Kirk et al. 2002, Kirkpatrick and Colvin 1986, Lawson et al. 2010, Maeda et al. 2001, Medhanie et al. 2014, Mitchell and Ridgewell 1971, Monaghan et al. 1985, Moriarty et al. 2011, Morishita et al. 1999, Murray et al. 2021, Navarro-Gonzalez et al. 2020, Oates et al. 2012, Oosterom 1987, Palmgren et al. 1997, Palmgren et al. 2004, Palmgren et al. 2006, Pao et al. 2014, Pearson et al. 2016, Plant, C. W. 1978, Plaza-Rodriguez et al. 2021, Quessy and Messier 1992, Reche et al. 2003, Refsum, et al. 2002, Rivadeneira et al. 2016, Robinson and Daniel 1968, Robinson et al. 2010, Siembieda et al. 2011, Silva et al. 2018, Smith et al.  2002, Snoeyenbos et al. 1967, Strait, A. 2015, Tanaka et al. 2005, Tizard et al. 2004, Wahlstrom et al. 2003, Wilson and MacDonald 1967, Winsor et al. 1981, Hamilton et al. 2021, Balasubramaniam et al. 2021, Bondo et al. 2016, Drewe et al. 2012, Hazeleger et al. 2018, Jardine et al. 2011, Kilonzo et al. 2013, Lohmus et al. 2013, Ojo et al. 2019, Queen et al. 2012, Spain et al. 2001, Scheelings et al.  2011"
Total,Salmonella enterica (non-typhoid),Conventional,Low,26,4,22,3144,0.028038917,0.01966094,0.039841853,0.079011357,0.045611448,0.133449173,1,1,2,"Franklin et al. 2015, Robinson and Daniel 1968, Hamilton et al. 2021, Allen et al. 2010"
Total,Salmonella enterica (typhoid),Conventional,Very Low,18,4,54,456,0.374083672,0.287311005,0.469788211,0.105731452,0.051318838,0.205348919,1,1,3,"Dadam et al. 2019, Mikaelian et al. 1997, Pennycott et al. 1998, Robinson and Daniel 1968"
Total,STEC,Conventional,Low,10,3,154,2020,0.096812649,0.083207132,0.112370178,0.082040593,0.037200102,0.171313895,5,1,8,"Cizek et al.  1999, Himsworth et al. 2015, Morabito et al. 2001"
Total,Total coliform,Conventional,Moderate,4,1,46,92,0.39076454,0.272125768,0.523897937,0.522263593,0.027689627,0.97672542,1,1,2,Muniesa et al.  1999
USA,Campylobacter,Conventional,Low,5,3,187,806,0.252805,0.219604948,0.289164465,0.191843134,0.042660918,0.558411602,1,1,1,"Kinzleman et al. 2008, Sulzner et al. 2014, Weis et al. 2014"
USA,Campylobacter jejuni,Conventional,Low,37,6,876,3054,0.391551083,0.370142968,0.413384745,0.210353848,0.126017256,0.329831803,1,1,8,"Fallacara et al. 2001, Fallacara et al. 2004, Luechtefeld et al. 1980, Pacha et al.  1987, Pao et al. 2014, Spain et al. 2001"
USA,Cryptosporidium,Conventional,Low,33,4,252,1308,0.231039036,0.206315467,0.257763128,0.167674177,0.115999731,0.23621695,3,1,1,"Kilonzo et al. 2013, Li et al. 2020, Montecino-Latorre et al. 2015, Oates et al.  2012"
USA,Cryptosporidium parvum,Conventional,Low,2,2,62,409,0.152022715,0.120339172,0.19024399,0.152022715,0.05064638,0.375959415,3,1,5,"Atwill et al. 2001, Snyder, DE 1988"
USA,EHEC,Conventional,Very Low,50,5,11,1624,0.063479743,0.045380961,0.088130283,0.052218769,0.036316315,0.074546043,4,1,2,"Burrus et al. 2017, Fonseca, et al. 2020, Gaukler et al. 2009, Hancock et al. 1998, Siembieda et al. 2011"
USA,Enterococci,Conventional,Low,37,4,186,962,0.187517781,0.157718533,0.22146688,0.164598036,0.098435855,0.262292481,2,1,1,"Kuntz et al 2004, Middleton and Ambrose 2005, Ricca and Cooney 1998, Marrow et al. 2009"
USA,Enterococcus faecalis,Conventional,Low,8,1,7,14,0.5,0.278739609,0.721260391,0.5,0.328622642,0.671377358,2,1,3,Kuntz et al 2004
USA,Escherichia coli,Conventional,Very Low,62,15,1571,4573,0.38499122,0.368024288,0.402242503,0.307627389,0.212624344,0.422311528,2,1,5,"Binkley, L. E. 2015, Brittingham et al. 1988, Fallacara et al. 2001, Fallacara et al. 2004, Franklin et al. 2015, Gaukler et al. 2009, Kullas et al.  2002, Meteyer et al. 1997, Middleton and Ambrose 2005, Morishita et al. 1999, Radwan and Lampky 1972, Steel et al. 2005, Sulzner et al. 2014, Wiese et al. 1977, Winsor et al. 1981"
USA,Fecal coliform,Conventional,Moderate,30,2,140,940,0.204575395,0.170828583,0.243034795,0.103800366,0.051631641,0.197692511,1,1,1,"Hussong et al.  1979, Ricca and Cooney 1998"
USA,Giardia,Conventional,Low,14,3,169,1048,0.193138495,0.167837468,0.221239571,0.190680386,0.111765185,0.306113071,2,1,1,"Kilonzo et al. 2013, Kilonzo et al. 2017, Oates et al.  2012"
